Ticker symbol, Security,SEC filings,Global Industry Classification StandardGICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,Central Index KeyCIK
NyseSymbolMMM,3M3M Company,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MMM&action=getcompany reports,Industrials     ,Industrial Conglomerates     St. Paul, Minnesota   0000066740
NyseSymbolCPB,Campbell Soup,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CPB&action=getcompany reports,Consumer Staples     Packaged Foods & Meats     Camden, New Jersey   0000016732
NyseSymbolCOF,Capital One Financial,http://www.sec.gov/cgi-bin/browse-edgar?CIK=COF&action=getcompany reports,Financials     Consumer Finance     Tysons Corner, Virginia   0000927628
NyseSymbolCAH,Cardinal Health Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CAH&action=getcompany reports,Health Care     Health Care Distributors     Dublin, Ohio   0000721371
NasdaqSymbolCBOE,Cboe HoldingsCBOE Holdings,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CBOE&action=getcompany reports,Financials  Financial Exchanges & Data   Chicago, Illinois  2017-03-01  0001374310 
NyseSymbolKMX,Carmax Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=KMX&action=getcompany reports,Consumer Discretionary     Specialty Stores     Richmond, Virginia  2010-06-28  0001170010
NyseSymbolCCL,Carnival Corp.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CCL&action=getcompany reports,Consumer Discretionary     Hotels, Resorts & Cruise Lines     Miami, Florida   0000815097
NyseSymbolCAT,Caterpillar Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CAT&action=getcompany reports,Industrials     Construction Machinery & Heavy Trucks     Peoria, Illinois   0000018230
NyseSymbolCBG,CBRE Group,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CBG&action=getcompany reports,Real Estate     Real Estate Services     Los Angeles, California  2006-11-10  0001138118
NyseSymbolCBS,CBS Corp.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CBS&action=getcompany reports,Consumer Discretionary     Broadcasting         New York, New York  1994-09-01  0000813828
NasdaqSymbolCELG,Celgene Corp.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CELG&action=getcompany reports,Health Care     Biotechnology     Summit, New Jersey  2006-11-06  0000816284
NyseSymbolCNC,Centene Corporation,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CNC&action=getcompany reports,Health Care Managed Health Care  St Louis, Missouri  2016-03-30  0001071739 
NyseSymbolCNP,CenterPoint Energy,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CNP&action=getcompany reports,Utilities     Multi-Utilities     Houston, Texas  1985-07-31  0001130310
NyseSymbolCTL,CenturyLink Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CTL&action=getcompany reports,Telecommunication Services     Integrated Telecommunication Services     Monroe, Louisiana   0000018926
NasdaqSymbolCERN,Cerner,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CERN&action=getcompany reports,Health Care     Health Care Technology     North Kansas City, Missouri  2010-04-30  0000804753
NyseSymbolCF,CF Industries Holdings Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CF&action=getcompany reports,Materials     Fertilizers & Agricultural Chemicals     Deerfield, Illinois   2008-08-27  0001324404
NyseSymbolSCHW,Charles Schwab Corporation,http://www.sec.gov/cgi-bin/browse-edgar?CIK=SCHW&action=getcompany reports,Financials     Investment Banking & Brokerage     San Francisco, California   0000316709
NyseSymbolCHTR,Charter Communications,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CHTR&action=getcompany reports,Consumer Discretionary   Cable & Satellite , Stamford, Connecticut  2016-09-08  0001091667 
NyseSymbolCHK,Chesapeake Energy,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CHK&action=getcompany reports,Energy     Oil & Gas Exploration & Production     Oklahoma City, Oklahoma   0000895126
NyseSymbolCVX,Chevron Corp.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CVX&action=getcompany reports,Energy     Integrated Oil & Gas     San Ramon, California   0000093410
NyseSymbolCMG,Chipotle Mexican Grill,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CMG&action=getcompany reports,Consumer DiscretionaryRestaurants Denver, Colorado  2011-04-28  0001058090
NyseSymbolCB,Chubb Limited,http://www.sec.gov/cgi-bin/browse-edgar?CIK=CB&action=getcompany reports,Financials     Property & Casualty Insurance   Zurich, Switzerland  2010-07-15  0000896159 
